Timestamp,IP Address,Log Entry,Type
2025-10-25 06:42,52.2.196.102,2025-10-25T10:20:42.750773Z | WARN | 52.2.196.102 | root | Failed login attempt (2/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T09:54:42.750773Z | WARN | 52.2.196.102 | root | Failed login attempt (3/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:29:42.750773Z | WARN | 52.2.196.102 | admin | Failed login attempt (4/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:27:42.750773Z | WARN | 52.2.196.102 | admin | Failed login attempt (5/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:31:42.750773Z | WARN | 52.2.196.102 | unknown | Failed login attempt (6/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:39:42.750773Z | WARN | 52.2.196.102 | unknown | Failed login attempt (7/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:05:42.750773Z | WARN | 52.2.196.102 | unknown | Failed login attempt (8/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T09:53:42.750773Z | WARN | 52.2.196.102 | root | Failed login attempt (9/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:08:42.750773Z | WARN | 52.2.196.102 | unknown | Failed login attempt (10/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:22:42.750773Z | WARN | 52.2.196.102 | root | Failed login attempt (11/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:03:42.750773Z | WARN | 52.2.196.102 | unknown | Failed login attempt (12/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T09:58:42.750773Z | WARN | 52.2.196.102 | unknown | Failed login attempt (13/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:13:42.750773Z | WARN | 52.2.196.102 | root | Failed login attempt (14/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:08:42.750773Z | WARN | 52.2.196.102 | root | Failed login attempt (15/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:26:42.750773Z | WARN | 52.2.196.102 | unknown | Failed login attempt (16/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:05:42.750773Z | WARN | 52.2.196.102 | unknown | Failed login attempt (17/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:07:42.750773Z | WARN | 52.2.196.102 | root | Failed login attempt (18/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:35:42.750773Z | WARN | 52.2.196.102 | root | Failed login attempt (19/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:22:42.750773Z | WARN | 52.2.196.102 | unknown | Failed login attempt (20/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:42:42.750773Z | WARN | 52.2.196.102 | admin | Failed login attempt (21/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:21:42.750773Z | WARN | 52.2.196.102 | admin | Failed login attempt (22/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T09:43:42.750773Z | WARN | 52.2.196.102 | unknown | Failed login attempt (23/86),General Alert
2025-10-25 06:42,52.2.196.102,2025-10-25T10:17:42.750773Z | WARN | 52.2.196.102 | admin | Failed login attempt (24/86),General Alert
